Measure,Time,Ethnicity,Ethnicity_type,Geography_name,Geography_code,Geography_type,Value,Numerator,Denominator
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Croydon,E09000008,Local Authority,5.27,31320,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Croydon,E09000008,Local Authority,4.62,12955,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Croydon,E09000008,Local Authority,2.26,9650,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Croydon,E09000008,Local Authority,1.98,3279,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Croydon,E09000008,Local Authority,1.5,5140,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Croydon,E09000008,Local Authority,2.01,5826,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Croydon,E09000008,Local Authority,0.38,171740,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Croydon,E09000008,Local Authority,1.01,5369,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Croydon,E09000008,Local Authority,0.41,234,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Croydon,E09000008,Local Authority,0.92,22852,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Croydon,E09000008,Local Authority,0.74,1701,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Croydon,E09000008,Local Authority,1.41,4704,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Croydon,E09000008,Local Authority,1.42,59627,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Croydon,E09000008,Local Authority,3.93,73256,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Croydon,E09000008,Local Authority,1.95,23895,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Croydon,E09000008,Local Authority,0.42,200195,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Croydon,E09000008,Local Authority,1.14,6405,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Ealing,E09000009,Local Authority,14.25,48240,338449
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Ealing,E09000009,Local Authority,4.35,14711,338449
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.53,1786,338449
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.22,4132,338449
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,9.33,31570,338449
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Ealing,E09000009,Local Authority,5.11,17299,338449
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Ealing,E09000009,Local Authority,3.9,13192,338449
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.88,6369,338449
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.16,3939,338449
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.59,1989,338449
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.37,4653,338449
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.33,4485,338449
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Ealing,E09000009,Local Authority,30.44,103035,338449
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Ealing,E09000009,Local Authority,3.08,10428,338449
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.09,300,338449
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,15.38,52055,338449
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Ealing,E09000009,Local Authority,2.9,9804,338449
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Ealing,E09000009,Local Authority,3.09,10462,338449
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Ealing,E09000009,Local Authority,29.68,100439,338449
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Ealing,E09000009,Local Authority,10.89,36860,338449
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Ealing,E09000009,Local Authority,4.45,15066,338449
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Ealing,E09000009,Local Authority,48.99,165818,338449
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Ealing,E09000009,Local Authority,5.99,20266,338449
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Ealing,E09000009,Local Authority,3.41,48240,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.31,14711,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.4,1786,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.05,4132,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,3.78,31570,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.75,17299,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Ealing,E09000009,Local Authority,2.22,13192,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,2.27,6369,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.92,3939,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.2,1989,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.36,4653,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.55,4485,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.23,103035,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Ealing,E09000009,Local Authority,1.96,10428,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Ealing,E09000009,Local Authority,0.52,300,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Ealing,E09000009,Local Authority,2.09,52055,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Ealing,E09000009,Local Authority,4.25,9804,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Ealing,E09000009,Local Authority,3.14,10462,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Ealing,E09000009,Local Authority,2.38,100439,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Ealing,E09000009,Local Authority,1.98,36860,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Ealing,E09000009,Local Authority,1.23,15066,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Ealing,E09000009,Local Authority,0.34,165818,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Ealing,E09000009,Local Authority,3.6,20266,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Enfield,E09000010,Local Authority,3.73,11648,312466
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.83,2594,312466
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.79,5599,312466
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.83,2588,312466
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,3.99,12464,312466
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Enfield,E09000010,Local Authority,9.03,28222,312466
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Enfield,E09000010,Local Authority,5.55,17334,312466
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,2.6,8131,312466
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.55,4852,312466
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.76,2384,312466
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.34,4189,312466
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.84,5758,312466
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Enfield,E09000010,Local Authority,40.47,126450,312466
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Enfield,E09000010,Local Authority,2.21,6899,312466
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.11,344,312466
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,18.23,56947,312466
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.62,1930,312466
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Enfield,E09000010,Local Authority,4.52,14133,312466
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Enfield,E09000010,Local Authority,11.17,34893,312466
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Enfield,E09000010,Local Authority,17.18,53687,312466
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Enfield,E09000010,Local Authority,5.5,17183,312466
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Enfield,E09000010,Local Authority,61.01,190640,312466
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Enfield,E09000010,Local Authority,5.14,16063,312466
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.82,11648,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.23,2594,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.25,5599,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.66,2588,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.49,12464,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Enfield,E09000010,Local Authority,2.85,28222,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Enfield,E09000010,Local Authority,2.91,17334,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,2.9,8131,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.14,4852,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.44,2384,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.23,4189,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.99,5758,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.28,126450,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Enfield,E09000010,Local Authority,1.3,6899,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.6,344,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Enfield,E09000010,Local Authority,2.29,56947,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Enfield,E09000010,Local Authority,0.84,1930,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Enfield,E09000010,Local Authority,4.24,14133,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Enfield,E09000010,Local Authority,0.83,34893,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Enfield,E09000010,Local Authority,2.88,53687,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Enfield,E09000010,Local Authority,1.4,17183,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Enfield,E09000010,Local Authority,0.4,190640,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Enfield,E09000010,Local Authority,2.85,16063,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Greenwich,E09000011,Local Authority,3.08,7836,254557
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.02,2594,254557
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.65,1645,254557
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.99,5061,254557
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,5.01,12758,254557
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Greenwich,E09000011,Local Authority,13.81,35164,254557
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Greenwich,E09000011,Local Authority,3.16,8051,254557
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,2.14,5440,254557
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.58,4011,254557
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.06,2699,254557
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.93,2361,254557
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.26,3203,254557
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Greenwich,E09000011,Local Authority,52.3,133130,254557
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.69,4291,254557
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.17,430,254557
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,8.31,21151,254557
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.42,1069,254557
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.44,3663,254557
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Greenwich,E09000011,Local Authority,11.74,29894,254557
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Greenwich,E09000011,Local Authority,19.11,48655,254557
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Greenwich,E09000011,Local Authority,4.82,12274,254557
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Greenwich,E09000011,Local Authority,62.46,159002,254557
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Greenwich,E09000011,Local Authority,1.86,4732,254557
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.55,7836,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.23,2594,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.37,1645,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.29,5061,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.53,12758,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Greenwich,E09000011,Local Authority,3.55,35164,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.35,8051,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.94,5440,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.94,4011,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.63,2699,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.69,2361,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.1,3203,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.29,133130,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.81,4291,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.75,430,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.85,21151,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Greenwich,E09000011,Local Authority,0.46,1069,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Greenwich,E09000011,Local Authority,1.1,3663,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Greenwich,E09000011,Local Authority,0.71,29894,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Greenwich,E09000011,Local Authority,2.61,48655,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Greenwich,E09000011,Local Authority,1,12274,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Greenwich,E09000011,Local Authority,0.33,159002,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Greenwich,E09000011,Local Authority,0.84,4732,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Hackney,E09000012,Local Authority,3.09,7599,246270
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.77,1905,246270
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Hackney,E09000012,Local Authority,2.51,6180,246270
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.4,3436,246270
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,2.74,6747,246270
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Hackney,E09000012,Local Authority,11.36,27976,246270
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Hackney,E09000012,Local Authority,7.78,19168,246270
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,3.94,9714,246270
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Hackney,E09000012,Local Authority,2.03,4989,246270
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.16,2866,246270
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.23,3020,246270
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,2.03,4994,246270
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Hackney,E09000012,Local Authority,36.15,89030,246270
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Hackney,E09000012,Local Authority,2.12,5216,246270
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.19,474,246270
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,16.2,39897,246270
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.7,1721,246270
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Hackney,E09000012,Local Authority,4.6,11338,246270
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Hackney,E09000012,Local Authority,10.5,25867,246270
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Hackney,E09000012,Local Authority,23.09,56858,246270
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Hackney,E09000012,Local Authority,6.44,15869,246270
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Hackney,E09000012,Local Authority,54.66,134617,246270
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Hackney,E09000012,Local Authority,5.3,13059,246270
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.54,7599,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.17,1905,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.38,6180,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.87,3436,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.81,6747,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Hackney,E09000012,Local Authority,2.83,27976,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Hackney,E09000012,Local Authority,3.22,19168,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,3.46,9714,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.17,4989,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.73,2866,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.88,3020,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.72,4994,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.2,89030,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.98,5216,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.82,474,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Hackney,E09000012,Local Authority,1.6,39897,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Hackney,E09000012,Local Authority,0.75,1721,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Hackney,E09000012,Local Authority,3.4,11338,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Hackney,E09000012,Local Authority,0.61,25867,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Hackney,E09000012,Local Authority,3.05,56858,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Hackney,E09000012,Local Authority,1.3,15869,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Hackney,E09000012,Local Authority,0.28,134617,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Hackney,E09000012,Local Authority,2.32,13059,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,1.89,3451,182493
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.88,1612,182493
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.58,1056,182493
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,1.72,3140,182493
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,4.04,7376,182493
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,5.78,10552,182493
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,3.9,7111,182493
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,2.11,3842,182493
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,1.52,2769,182493
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.82,1495,182493
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,1.45,2649,182493
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,1.72,3131,182493
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,44.93,81989,182493
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,3.46,6321,182493
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.12,217,182493
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,19.56,35695,182493
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,2.86,5228,182493
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,2.66,4859,182493
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Hammersmith and Fulham,E09000013,Local Authority,9.12,16635,182493
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Hammersmith and Fulham,E09000013,Local Authority,11.78,21505,182493
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Hammersmith and Fulham,E09000013,Local Authority,5.5,10044,182493
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Hammersmith and Fulham,E09000013,Local Authority,68.07,124222,182493
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Hammersmith and Fulham,E09000013,Local Authority,5.53,10087,182493
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.24,3451,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.14,1612,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.24,1056,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.8,3140,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,0.88,7376,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Hammersmith and Fulham,E09000013,Local Authority,1.07,10552,989628
